author_segment,n_rows,n_author_groups,accuracy,balanced_accuracy,f1_macro,f1_weighted
seen_in_training,504,252,0.7817460317460317,0.7251235769969128,0.7196916009398818,0.7831705815127086
unseen_in_training,2382,1381,0.7737195633921075,0.7270516505489214,0.7267509483484469,0.7731616826462078
